Code,Genus,species,Authority,Group,Duration,Growth_habitat,Comments
ACNE,Acer,negundo,L.,Dicot,Perennial,Tree,
ACRU,Acer,rubrum,L.,Dicot,Perennial,Tree,
ACSA,Acer,saccharum,Marshall,Dicot,Perennial,Tree,
AGST,Agrostis,stolonifera,L.,Monocot,Perennial,Graminoid,
ALPE,Alliaria,petiolata,(M. Bieb.) Cavara & Grande,Dicot,Annual/Biennial,Forb/herb,
AMAL,Amaranthus,albus,L.,Dicot,Annual,Forb/herb,
AMAR,Ambrosia,artemisiifolia,L.,Dicot,Annual,Forb/herb,
ANAR,Anagallis,arvensis,L.,Dicot,Annual/Biennial,Forb/herb,
ANGE,Andropogon,gerardii,Vitman,Monocot,Perennial,Graminoid,
ASSU,Asclepias,sullivantii,Engelm. ex A. Gray,Dicot,Perennial,Forb/herb,
ASSY,Asclepias,syriaca,L.,Dicot,Perennial,Forb/herb,
ASTU,Asclepias,tuberosa,L.,Dicot,Perennial,Forb/herb,
BRIN,Bromus,inermis,Leyss.,Monocot,Perennial,Graminoid,
BRTE,Bromus,tectorum,L.,Monocot,Annual,Graminoid,
CAREX,Carex,spp.,-,Monocot,Perennial,Graminoid,"No flowering structures on any species, which lead to grouping all species within the genus"
CEFO,Cerastium,fontanum,(Hack.) Fernald,Monocot,Annual,Graminoid,
CELO,Cenchrus,longispinus,Baumg.,Dicot,Biennial/Perennial,Forb/herb,
CEPU,Cerastium,pumilum,W. Curtis,Dicot,Annual,Forb/herb,
CHGL,Chenopodium,glaucum,L.,Dicot,Annual,Forb/herb,
COCA,Conzya,canadensis,(L.) Conquist,Dicot,Annual/Biennial,Forb/herb,
COSE,Cornus,sericea,L.,Dicot,Perennial,Shrub/Tree,
COTR,Coreopsis,tripteris,L.,Dicot,Perennial,Forb/herb,
DACA,Daucus,carota,L.,Dicot,Biennial,Forb/herb,
DECA,Desmodium,canadense,(L.) DC.,Dicot,Perennial,Forb/herb,
DIIS,Digitaria,ischaemum,(Schreb.) Schreb. ex Muhl.,Monocot,Annual,Graminoid,
DISA,Digitaria,sanguinalis,(L.) Scop.,Monocot,Annual,Graminoid,
ECCR,Echinochloa,crus-galli,(L.) P. Beauv.,Monocot,Annual,Graminoid,
ELHY,Elymus,hystrix,L.,Monocot,Perennial,Graminoid,
ELRE,Elymus,repens,(L.) Gould,Monocot,Perennial,Graminoid,
ERAN,Erigeron,annuus,(L.) Pers.,Dicot,Annual,Forb/herb,
FRVI,Fragaria,virginiana,Duchesne,Dicot,Perennial,Forb/herb,
GEAN,Gentiana,andrewsii,Griseb.,Dicot,Perennial,Forb/herb,
GEUR,Geum,urbanum,L.,Dicot,Perennial,Forb/herb,
HEGI,Helianthus,giganteus,L.,Dicot,Perennial,Forb/herb,
HEHE,Heliopsis,helianthoides,(L.) Sweet,Dicot,Perennial,Forb/herb,
HOJU,Hordeum,jubatum,L.,Monocot,Perennial,Graminoid,
LASE,Lactuca,serriola,L.,Dicot,Annual/Perennial,Forb/herb,SP24 
LIVU,Linaria,vulgaris,Mill.,Dicot,Perennial,Forb/herb,
LOCA,Lobelia,cardinalis,L.,Dicot,Perennial,Forb/herb,
LOPE,Lolium,perenne,Boiss. & Hohen. ex Boiss.,Monocot,Annual/Perennial,Graminoid,
MEAL,Melilotus,albus,(L.) Lam.,Dicot,Annual/Biennial/Perennial,Forb/herb,
MELU,Medicago,lupulina,L.,Dicot,Annual/Perennial,Forb/herb,
MESA,Medicago,sativa,L.,Dicot,Annual/Perennial,Forb/herb,
MORU,Morus,rubra,L.,Dicot,Perennial,Tree,
OEBI,Oenothera,biennis,L.,Dicot,Biennial,Forb/herb,
ORAS,Oryzopsis,asperifolia,Michx.,Monocot,Perennial,Graminoid,
OXST,Oxalis,stricta,L.,Dicot,Perennial,Forb/herb,
PACA,Panicum,capillare,L.,Monocot,Annual,Graminoid,Panicum millaceum? or Panicum virgatum
PAQU,Parthenocissus,quinquefolia,(L.) Planch.,Dicot,Perennial,Vine,
PAVI,Panicum,virgatum,(L.) R. Br.,Monocot,Annual/Perennial,Graminoid,
PEGL,Pennisetum,glaucum,L.,Monocot,Perennial,Graminoid,
PHPR,Phleum,pratense,L.,Dicot,Annual/Biennial/Perennial,Forb/herb,
PLLA,Plantago,lanceolata,L.,Dicot,Perennial,Forb/herb,
PLMA,Plantago,major,L.,Dicot,Annual/Perennial,Forb/herb,
POAV,Polygonum,aviculare,L.,Dicot,Annual,Forb/herb,
POOL,Portulaca,oleracea,Ehrh.,Dicot,Perennial,Shrub/Tree,
PRSE,Prunus,serotina,L.,Dicot,Perennial,Forb/herb,
PRVU,Prunella,vulgaris,Schrad.,Dicot,Perennial,Forb/herb,
PYTE,Pycnanthemum,tenuifolium,(Vent.) Barnhart,Dicot,Perennial,Forb/herb,
RABI,Ratibida,pinnata,L.,Dicot,Perennial,Shrub/Tree,
RHCA,Rhamnus,cathartica,L.,Dicot,Perennial,Forb/herb,
RUCR,Rumex,crispus,L.,Dicot,Annual/Biennial/Perennial,Forb/herb,
RUHI,Rudbeckia,hirta,(Michx.) Nash,Monocot,Perennial,Graminoid,
SCSC,Schizachyrium,scoparium,(Poir.) Roem. & Schult.,Monocot,Annual,Graminoid,
SEGL,Setaria,glauca,(L.) P. Beauv.,Monocot,Annual,Graminoid,
SEVI,Setaria,viridis,L.,Dicot,Annual,Forb/herb,
SIAL,Sisymbrium,altissimum,L.,Dicot,Perennial,Forb/herb,
SIPE,Silphium,perfoliatum,L.,Dicot,Perennial,Forb/herb,
SOAR,Sonchus,arvensis,(L.) Hill,Dicot,Annual,Forb/herb,
SOAS,Sonchus,asper,L.,Dicot,Perennial,Forb/herb,
SOCA,Solidago,canadensis,(L.) Nash,Monocot,Perennial,Graminoid,
SONU,Sorghastrum,nutans,(L.) Small,Dicot,Perennial,Forb/herb,
SORI,Solidago,rigida,L. 1753,Dicot,Perennial,Forb/herb,
SOSP,Solidago,canadensis,(L.) G.L. Nesom,Dicot,Perennial,Forb/herb,Most likely Solidago canadensis based on personal field observations around the plots
SYNO,Symphyotrichum,novae-angliae,F.H. Wigg.,Dicot,Perennial,Forb/herb,
TAOF,Taraxacum,officinale,L.,Monocot,Annual,Graminoid,
TRAE,Triticum,aestivum,L.,Dicot,Biennial/Perennial,Forb/herb,
TRRE,Trifolium,repens,L.,Dicot,Perennial,Forb/herb,
TRPR,Trifolium,pratense,L.,Dicot,Perennial,Forb/herb,
VESE,Veronica,serpyllifolia,Vent.,Dicot,Annual/Perennial,Forb/herb,
VEST,Verbena,stricta,L.,Dicot,Biennial,Forb/herb,"Could also be ""Verbana hastata"""
VETH,Verbascum,thapsus,L.,Dicot,Perennial,Vine,
VIRI,Vitis,riparia,Michx.,Dicot,Perennial,Forb/herb/vine,
VIRO,Vincetoxicum,rossicum,(Kleopow) Borhidi,Dicot,Perennial,Forb/herb/vine,
MOFI,Monarda,fistulosa,L.,Dicot,Perennial,Forb/herb,
CHAL,Chenopodium,album,L.,Dicot,Annual,Forb/herb,
CIAR,Cirsium,arvense,(L.) Scop.,Dicot,Perennial,Forb/herb,
AVSA,Avena,sativa,L. (1753),Monocot,Annual,Graminoid,
COAR,Convolvulus,arvensis,L.,Dicot,Perennial,Forb/herb/vine,
OXCO,Oxalis,corniculata,L.,Dicot,Annual/Perennial,Forb/herb,
VICR,Vicia,cracca,L.,Dicot,Perennial,Forb/herb/vine,
PELA,Persicaria,maculosa,Gray,Dicot,Annual/Perennial,Forb/herb,
POPR,Poa,pratensis,L.,Monocot,Perennial,Graminoid,
RHTY,Rhus,typhina,L. (1756),Dicot,Perennial,Tree,
SYLA,Symphyotrichum,laeve,(L.) Á.Löve & D.Löve,Dicot,Perennial,Forb/herb,
FERU,Festuca,rubra,L.,Monocot,Perennial,Graminoid,
BESP,Bellis,sylvestris,Cirillo,,,,
CIVU,Cirsium,vulgare,(Savi) Ten.,Dicot,Biennial,Forb/herb,
GECA,Geum,canadense,Jacq.,Dicot,Perennial,Forb/herb,
HYOF,Hyssopus,officinalis,L.,Dicot,Perennial,Forb/herb,
MAPU,Malus,pumila,Borkh. (1803),Dicot,Perennial,Tree,
VEHA,Verbena,hastata,L.,Dicot,Biennial,Forb/herb,
VEOF,Veronica,officinalis,L.,Dicot,Perennial,Forb/herb,